Salary,YearsCode,EdLevel,RemoteWork,Is_USA
175000.0,9.0,Masters,Remote,1
159000.0,6.0,Bachelors,Hybrid,1
155000.0,27.0,Masters,Remote,1
127388.0,8.0,Masters,Hybrid,0
211000.0,16.0,Bachelors,Remote,0
71962.0,35.0,Masters,In-person,0
54777.0,38.0,Masters,Hybrid,0
80555.0,35.0,Masters,Hybrid,0
60147.0,9.0,Bachelors,Hybrid,0
167554.0,10.0,Bachelors,Hybrid,0
38604.0,7.0,Masters,Remote,0
38666.0,9.0,Bachelors,Hybrid,0
120000.0,10.0,Bachelors,In-person,1
112101.0,15.0,Bachelors,Remote,0
85000.0,7.0,Bachelors,In-person,1
34609.0,7.0,Bachelors,Remote,0
160000.0,24.0,Bachelors,Remote,1
45655.0,9.0,Bachelors,Remote,0
174000.0,35.0,Bachelors,Remote,1
26852.0,18.0,Masters,Hybrid,0
119000.0,16.0,Bachelors,Hybrid,1
183493.0,29.0,Bachelors,Hybrid,0
33613.0,10.0,Bachelors,Hybrid,0
220000.0,27.0,Bachelors,Remote,1
100000.0,32.0,Bachelors,Remote,1
51555.0,11.0,Masters,Remote,0
126000.0,13.0,Masters,Hybrid,1
80000.0,7.0,Bachelors,Hybrid,1
23454.0,10.0,Masters,Hybrid,0
60000.0,19.0,Bachelors,Remote,0
83777.0,17.0,Masters,In-person,0
218079.0,28.0,Masters,Remote,0
22079.0,20.0,Masters,Hybrid,0
129602.0,25.0,Masters,Hybrid,0
93642.0,34.0,Masters,Hybrid,0
66162.0,14.0,Masters,In-person,0
66826.0,17.0,Bachelors,Hybrid,0
152865.0,15.0,Bachelors,Remote,0
250000.0,20.0,Bachelors,Hybrid,1
45000.0,15.0,Masters,Hybrid,1
75159.0,7.0,Masters,Hybrid,0
69814.0,16.0,Masters,Hybrid,0
130000.0,9.0,Bachelors,Remote,1
44586.0,12.0,Bachelors,Hybrid,0
250000.0,15.0,Bachelors,Remote,1
75184.0,12.0,Bachelors,Hybrid,0
73500.0,9.0,Masters,Remote,1
155000.0,17.0,Masters,Remote,1
122559.0,10.0,Masters,Hybrid,0
184000.0,26.0,Bachelors,Remote,1
150000.0,10.0,Bachelors,Remote,1
210645.0,12.0,Masters,In-person,0
130000.0,32.0,Bachelors,Remote,1
63600.0,8.0,Masters,Remote,0
34748.0,38.0,Masters,Remote,0
63694.0,15.0,Masters,Hybrid,0
49354.0,18.0,Bachelors,Remote,0
160000.0,50.0,Bachelors,Remote,1
82384.0,24.0,Bachelors,Hybrid,0
130000.0,27.0,Masters,Remote,1
47059.0,6.0,Masters,Remote,0
